auto_run_id,delta_acc,delta_auprc,delta_auroc,delta_d,delta_entropy_mean,delta_partial_rho,delta_pos_rate,delta_rho,delta_seq_len_mean,delta_sink_mean,label,model,off_run_id,quantization,query_mode,query_start,sink_tokens,task
truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hallucinated,EleutherAI/pythia-2.8b-deduped,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast,0.06265060240963854,-0.10487124790298252,-0.026566571582761545,-0.11346000156397443,-1.136270432075463,-0.08452153093981277,-0.0626506024096386,-0.055616277820311345,-29.0,0.11270533033010272,hallucinated,Qwen/Qwen2.5-0.5B-Instruct,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast,0.0,nan,nan,nan,nan,nan,0.0,nan,-29.0,nan,hallucinated,Qwen/Qwen2.5-1.5B-Instruct,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast,-0.03373493975903613,-0.09579741106408057,-0.06486373246511956,-0.31376248786094857,0.037873191696807196,-0.19963260756104112,0.03373493975903619,-0.21656731632753018,-29.0,0.15020985332861614,hallucinated,Qwen/Qwen2.5-7B-Instruct,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast,0.016867469879518038,-0.021928194535819068,0.008456461538743465,0.020622530049628395,0.7520062238337044,0.11700346536648268,-0.01686746987951815,0.07207374649098067,-16.0,0.02141242781684599,hallucinated,TinyLlama/TinyLlama-1.1B-Chat-v1.0,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
truthfulqa_mc__microsoft__phi-2__K4__qlast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hallucinated,microsoft/phi-2,truthfulqa_mc__microsoft__phi-2__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast,-0.06265060240963849,0.06673955058279063,0.03940528960446532,0.10364448863805507,0.6720199770912674,0.003945044391613278,0.06265060240963854,-0.011491786544169963,-3.0,-0.023787167408021115,hallucinated,mistralai/Mistral-7B-Instruct-v0.3,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast,-0.2240963855421687,0.2398653385753401,0.026700411909123367,0.047838424137887255,0.1931151058839029,0.01930632227908291,0.22409638554216865,-0.033335515976951294,-3.0,-0.05983150721280778,hallucinated,mistralai/Mistral-Nemo-Instruct-2407,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast__chatoff,none,last,0,4,truthfulqa_mc
