acc,auprc_sink_vs_label,auroc_sink_vs_label,chat_mode,cohens_d_sink_pos_minus_neg,corr_sink_entropy_pearson,corr_sink_entropy_spearman,entropy_mean,entropy_std,label,model,n,partial_sink_entropy_spearman_seq_len,pos_rate,quantization,query_mode,query_start,run_id,seq_len_mean,seq_len_std,sink_mean,sink_std,sink_tokens,task
0.23373493975903614,0.7858026463939367,0.5079102638915904,auto,-0.010218135889319115,0.06993347322765131,0.13042638782554972,2.920599103261189,0.30084069300139843,hallucinated,EleutherAI/pythia-2.8b-deduped,415,0.1273564156290715,0.7662650602409639,none,last,0,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast,73.69638554216867,16.075855170590927,0.2542036741701269,0.014659425233203462,4,truthfulqa_mc
0.23373493975903614,0.7858026463939367,0.5079102638915904,off,-0.010218135889319115,0.06993347322765131,0.13042638782554972,2.920599103261189,0.30084069300139843,hallucinated,EleutherAI/pythia-2.8b-deduped,415,0.1273564156290715,0.7662650602409639,none,last,0,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast__chatoff,73.69638554216867,16.075855170590927,0.2542036741701269,0.014659425233203462,4,truthfulqa_mc
0.26265060240963856,0.7722930904782105,0.5418840319002218,auto,0.16878447094657684,0.07041067063469857,0.05763136156666801,1.9064560113182987,0.3568542905936456,hallucinated,Qwen/Qwen2.5-0.5B-Instruct,415,0.10247142415817115,0.7373493975903614,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast,97.70843373493976,16.69757362662891,0.3640887618244412,0.00733070265525652,4,truthfulqa_mc
0.3253012048192771,0.667421842575228,0.5153174603174603,off,0.055324469382602416,-0.009053781300160865,0.0020150837463566644,0.7701855792428356,0.3841195004942024,hallucinated,Qwen/Qwen2.5-0.5B-Instruct,415,0.017949893218358385,0.6746987951807228,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast__chatoff,68.70843373493976,16.69757362662891,0.47679409215454394,0.013972004247179492,4,truthfulqa_mc
0.2385542168674699,nan,nan,auto,nan,nan,nan,nan,nan,hallucinated,Qwen/Qwen2.5-1.5B-Instruct,415,nan,0.7614457831325301,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast,97.70843373493976,16.69757362662891,nan,nan,4,truthfulqa_mc
0.2385542168674699,nan,nan,off,nan,nan,nan,nan,nan,hallucinated,Qwen/Qwen2.5-1.5B-Instruct,415,nan,0.7614457831325301,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast__chatoff,68.70843373493976,16.69757362662891,nan,nan,4,truthfulqa_mc
0.4939759036144578,0.3945613421473172,0.46537307032590053,auto,-0.05245305031696263,0.22254745526072559,0.13044024999056877,0.33367548320369783,0.35818094121028987,hallucinated,Qwen/Qwen2.5-7B-Instruct,415,0.12714774609566992,0.5060240963855421,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast,97.70843373493976,16.69757362662891,0.3727572366111611,0.008842300751353652,4,truthfulqa_mc
0.4602409638554217,0.2987639310832366,0.40050933786078097,off,-0.3662155381779112,-0.016160213984978192,-0.08612706633696139,0.371548674900505,0.43890466779616955,hallucinated,Qwen/Qwen2.5-7B-Instruct,415,-0.07248486146537121,0.5397590361445783,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast__chatoff,68.70843373493976,16.69757362662891,0.5229670899397773,0.0212231248088425,4,truthfulqa_mc
0.25783132530120484,0.7304945638499009,0.4895618400291297,auto,-0.05092423056624354,-0.1678222686268898,-0.16823682690628738,1.561851727962494,0.4649553263819407,hallucinated,TinyLlama/TinyLlama-1.1B-Chat-v1.0,415,-0.16470480584545544,0.7421686746987952,none,last,0,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast,97.91566265060241,18.536453709573447,0.39117938644045647,0.00442177598906934,4,truthfulqa_mc
0.2746987951807229,0.7085663693140818,0.4980183015678732,off,-0.030301700516615144,-0.13302152575629583,-0.09616308041530672,2.3138579517961984,0.28744122269460687,hallucinated,TinyLlama/TinyLlama-1.1B-Chat-v1.0,415,-0.04770134047897275,0.7253012048192771,none,last,0,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast__chatoff,81.91566265060241,18.536453709573447,0.41259181425730246,0.00815054305141127,4,truthfulqa_mc
0.4578313253012048,0.5071551803930043,0.46589473684210525,auto,-0.12527470164145882,-0.20116877857616677,-0.20513710359833986,1.3106954211032533,0.45949335220351517,hallucinated,microsoft/phi-2,415,-0.24530933096936242,0.5421686746987951,none,last,0,truthfulqa_mc__microsoft__phi-2__K4__qlast,72.74216867469879,16.142842201204672,0.2664557426482024,0.00872628140200918,4,truthfulqa_mc
0.4578313253012048,0.5071551803930043,0.46589473684210525,off,-0.12527470164145882,-0.20116877857616677,-0.20513710359833986,1.3106954211032533,0.45949335220351517,hallucinated,microsoft/phi-2,415,-0.24530933096936242,0.5421686746987951,none,last,0,truthfulqa_mc__microsoft__phi-2__K4__qlast__chatoff,72.74216867469879,16.142842201204672,0.2664557426482024,0.00872628140200918,4,truthfulqa_mc
